CoM,Diocese,Area,Nation
A7,Edinburgh,SEC,Scotland
Attercliffe & Darnall,Sheffield,CofE,England
Ballina,"Tuam, Limerick and Killaloe",CoI,Republic of Ireland
Blackpool,Blackburn,CofE,England
Bradford - Sorted,Leeds,CofE,England
Central Fife,"St Andrews, Dunkeld and Dunblane",SEC,Scotland
Cork,"Cork, Cloyne & Ross",CoI,Republic of Ireland
Cross Hands,St David's,CiW,Wales
Dundee,Brechin,SEC,Scotland
Gloucester,Gloucester,CofE,England
Greenwich,Southwark,CofE,England
Gwent Valley ,Monmouth,CiW,Wales
Hackney,London,CofE,England
Haverfordwest,St David's,CiW,Wales
Langley,Birmingham,CofE,England
Leeds,Leeds,CofE,England
Liverpool,Liverpool,CofE,England
Llandaff,Llandaff,CiW,Wales
Llanelli,St David's,CiW,Wales
Medway,Rochester,CofE,England
Middlesbrough,York,CofE,England
Newry,Down & Dromore,CoI,Northern Ireland
North Belfast,Connor,CoI,Northern Ireland
St Helier,Southwark,CofE,England
Rochdale,Manchester,CofE,England
Scunthorpe,Lincoln,CofE,England
Selby,York,CofE,England
Sheffield,Sheffield,CofE,England
Sligo,"Kilmore, Elphin & Ardagh",CoI,Republic of Ireland
Southampton,Winchester,CofE,England
West Highlands,Argyll & The Isles,SEC,Scotland
Wrexham,St Asaph,CiW,Wales
